name,number,num
ALEO PLATING LIMITED,3272810,4401215
ARMAPLATE (UK) LTD,3310342,6004972
AINSCOUGH LIMITED,3324481,4743793
AUTO MANAGEMENT (NORTH WEST) LIMITED,3328894,4859429
ACCURITE INDUSTRIES LTD.,3350459,6971313
APOLLO PRINT SERVICES (NORTH WEST) LIMITED,3369945,5381728
ALBION SYSTEMS LIMITED,3384448,2323242
A. & C. SHEET METAL LIMITED,3401609,5414878
ACEMAX ESTATES LTD,3415436,7809587
A & G SCREENPRINTERS & COMPANY LIMITED,3417627,10798259
A.B.R. FABRICATIONS LIMITED,3428169,7236259
ALPHA PLASTICS INDUSTRIES LTD,3436790,8669795
AYRTON SAUNDERS LIMITED,3441971,8843287
ACTION MAILING LTD,3442946,11080984
AIR SYSTEMS (UK) LTD,3451237,7234733
ALPHA ENGINEERING SOLUTIONS LIMITED,3454324,11256239
AQUA HYGIENE PRODUCTS LIMITED,3483484,10030919
ALULINE LIMITED,3490498,11268942
AQUACUT LIMITED,3492068,10641549
A F FASTENERS LIMITED,3498267,10262556
APB PLASTICS LIMITED,3527783,4637848
AIR HANDLING COMPONENTS LIMITED,3530440,9793228
ABSORBENT PRODUCTS LIMITED,3532220,11100736
AVANTI CONVEYORS LIMITED,3547449,8877132
ALLMEC ENGINEERING LIMITED,3560555,5622935
APPLIANCE SERVICES (A-U-L) LIMITED,3568402,7331588
AIRTREK (PROCESS PLANT) LIMITED,3579475,8159306
ALKEN PROFILES LIMITED,3583691,10695605
ARTSTONE LIMITED,3584967,3882707
AIRMATIC LTD,3593000,11532205
AGRILLOYD LIMITED,3604296,8067844
APPLIED PHOTONICS LTD,3617150,3780764
ASTEC PRECISION LIMITED,3621871,10343213
ALPHA SHEET METAL (NORTH) LIMITED,3627825,4731756
ABC LIFTING EQUIPMENT ENGINEERS LIMITED,3628523,8752738
ALT ENGINEERING COMPANY LIMITED,3629630,11003104
A M P WIRE LIMITED,3633177,5350693
AMTECH DEVELOPMENTS LIMITED,3643557,10899494
AMP ELECTRICAL MECHANICAL SERVICES LIMITED,3650544,4499675
AGR BUILDING & FENCING CONTRACTORS LIMITED,3656076,6324872
A.S.K. REWINDS LTD.,3670294,2504063
ACCOLADE GROUP LIMITED,3678552,5015035
ADVANCED BUILDING DESIGN LIMITED,3687619,4767875
APN SYSTEMS LIMITED,3693358,10260569
AIRWISE PNEUMATICS LTD,3704700,1793834
AR-MECH LTD,3718789,2567897
ARMACELL UK LIMITED,3729805,7119330
ALCAM SERVICES LIMITED,3734754,1599650
ATLANTIC 4422 LIMITED,3737573,3987514
AQUARIUS MANUFACTURING LIMITED,3750779,2736698
APPLIED INDUSTRIES LIMITED,3755067,6955906
AMR (BURNLEY) LIMITED,3758114,7524474
ARCRITE ENGINEERING LIMITED,3758582,7967201
AMBER INDUSTRIES LIMITED,3763332,5066995
ABB LIMITED,3780764,4122111
ANSA ELEVATORS LIMITED,3785224,3628523
ADAM UPHOLSTERY LIMITED,3814338,10156561
"AGC CHEMICALS EUROPE, LTD.",3825057,2776878
ASHFARM PERSONAL CARE LIMITED,3825731,7753873
ARDEN ENGRAVING LIMITED,3834327,11073573
ANGEL SOFTWARE LIMITED,3863318,4555613
ALPHA CONTROL SYSTEMS LIMITED,3872072,10960067
ANODE ELECTRONICS LTD,3882679,8780768
ABACUS PLANT AND MATERIALS HANDLINGS LTD.,3882707,10463917
ARGO PRODUCTS ENGINEERS LIMITED,3885291,7783760
ARTHOUSE LIMITED,3897091,6793928
ATLAS CLEAN AIR LIMITED,3908503,7308677
ADVANCED AIR CONDITIONING & REFRIGERATION LIMITED,3917296,7256446
ALUMINIUM SHAPES LIMITED,3921671,4949795
ACORN DOOR SYSTEMS LIMITED,3934046,8202242
ASHLYNE FABRICATIONS LIMITED,3959793,11078266
AS-TEC CHEMICALS LIMITED,3973050,10184636
ASGARD ENGINEERING LIMITED,3974773,1593258
ABBEYHORN LIMITED,3987514,8583910
ASA UK & IRELAND LIMITED,3987754,8867393
AZTECH ENGINEERING (UK) LIMITED,3997112,6258147
ACCRINGTON GRINDING COMPANY LIMITED,4016854,4882353
ACOUSTA-FIL LIMITED,4037635,11403494
ACEWELL INSTALLATIONS LIMITED,4043946,9361778
A & A OULTRAM LIMITED,4056359,5101759
ADD SIGNS LIMITED,4062165,1404968
APG PRECISION ENGINEERING LTD,4074750,9520797
