Engineering Company Number,Manufacturing Company Number
9246246,11301621
6264784,10109361
10951853,7823483
11457842,9551541
11412760,544939
11260596,8195048
10577743,6681671
9013594,2571168
11032367,10767369
9917905,11318931
6578372,8282730
10905455,7281850
9027200,3441971
11706224,10157585
10942281,5323768
6165871,7997596
3590803,10089545
9688472,1695952
6901957,11347351
11214588,4521418
11159143,3997112
11056129,4640550
9443474,5888200
11421770,8567494
10809963,7579223
9927145,9327651
10706447,8319956
11643310,7776213
8336506,7723683
11568691,11203438
11241442,5225675
4843496,9045171
10585772,2927272
11490279,5945745
11250822,5197256
9658085,8835895
11687767,3935133
6092145,6707787
5323565,1454639
2441043,3629887
11605097,2573279
11304588,2910899
3160263,5970543
9613274,9800558
6355275,10861806
11599342,10254895
7300934,2782360
11435870,11027528
5041750,4055642
2785199,11409745
8913323,10429492
10999829,11641854
7998594,9834060
10136509,3842594
8296564,6529095
11311779,10338434
11384363,9912624
11728599,3163608
11795629,3287116
11319035,11604556
6194890,1281567
10851907,1434305
5963571,1349269
8128540,4879744
11191398,1838819
11537285,696048
10069912,1867365
10645811,2169508
9023421,2458552
11595858,11543368
11595026,2815458
8497726,1306938
6485990,7724784
9950888,3655115
6176014,6878135
9121138,3759218
10996019,8437330
11485163,10532800
6479419,4999011
2792805,1744442
7304944,1076827
11559857,10747530
11579091,4143338
11406917,9740845
